barrios_hecho,ano,quantity
VILLA MERCEDES,2010,24
VILLA MERCEDES,2011,30
VILLA MERCEDES,2012,38
VILLA MERCEDES,2013,57
VILLA MERCEDES,2014,38
VILLA MERCEDES,2015,41
VILLA MERCEDES,2016,56
VILLA MERCEDES,2017,51
VILLA MERCEDES,2018,48
VILLA MERCEDES,2019,64
VILLA MERCEDES,2020,29
VILLA MERCEDES,2021,40
VILLA ROSA,2010,84
VILLA ROSA,2011,67
VILLA ROSA,2012,105
VILLA ROSA,2013,92
VILLA ROSA,2014,88
VILLA ROSA,2015,83
VILLA ROSA,2016,120
VILLA ROSA,2017,99
VILLA ROSA,2018,116
VILLA ROSA,2019,87
VILLA ROSA,2020,107
VILLA ROSA,2021,85
VILLAS DE GIRARDOT,2014,21
VILLAS DE GIRARDOT,2015,20
VILLAS DE GIRARDOT,2016,34
VILLAS DE GIRARDOT,2017,26
VILLAS DE GIRARDOT,2018,23
VILLAS DE GIRARDOT,2019,8
VILLAS DE GIRARDOT,2020,13
VILLAS DE GIRARDOT,2021,14
ZARABANDA,2010,23
